Investment choice name,Date,Currency,NAV / unit
MIL Greater Bay Area Growth and Income Fund #,2022-05-17,USD,0.7800
MIL Greater Bay Area Growth and Income Fund #,2022-05-18,USD,0.7820
MIL Greater Bay Area Growth and Income Fund #,2022-05-19,USD,0.7770
MIL Greater Bay Area Growth and Income Fund #,2022-05-20,USD,0.7880
MIL Greater Bay Area Growth and Income Fund #,2022-05-23,USD,0.7850
MIL Greater Bay Area Growth and Income Fund #,2022-05-24,USD,0.7740
MIL Greater Bay Area Growth and Income Fund #,2022-05-25,USD,0.7770
MIL Greater Bay Area Growth and Income Fund #,2022-05-26,USD,0.7760
MIL Greater Bay Area Growth and Income Fund #,2022-05-27,USD,0.7810
MIL Greater Bay Area Growth and Income Fund #,2022-05-30,USD,0.7880
MIL Greater Bay Area Growth and Income Fund #,2022-05-31,USD,0.7980
MIL Greater Bay Area Growth and Income Fund #,2022-06-01,USD,0.7980
MIL Greater Bay Area Growth and Income Fund #,2022-06-02,USD,0.7980
MIL Greater Bay Area Growth and Income Fund #,2022-06-06,USD,0.8060
MIL Greater Bay Area Growth and Income Fund #,2022-06-07,USD,0.8050
MIL Greater Bay Area Growth and Income Fund #,2022-06-08,USD,0.8120
MIL Greater Bay Area Growth and Income Fund #,2022-06-09,USD,0.8080
MIL Greater Bay Area Growth and Income Fund #,2022-06-10,USD,0.8120
MIL Greater Bay Area Growth and Income Fund #,2022-06-13,USD,0.8000
MIL Greater Bay Area Growth and Income Fund #,2022-06-14,USD,0.7980
MIL Greater Bay Area Growth and Income Fund #,2022-06-15,USD,0.7980
MIL Greater Bay Area Growth and Income Fund #,2022-06-16,USD,0.7900
MIL Greater Bay Area Growth and Income Fund #,2022-06-17,USD,0.7930
MIL Greater Bay Area Growth and Income Fund #,2022-06-20,USD,0.8020
MIL Greater Bay Area Growth and Income Fund #,2022-06-21,USD,0.8050
MIL Greater Bay Area Growth and Income Fund #,2022-06-22,USD,0.7960
MIL Greater Bay Area Growth and Income Fund #,2022-06-23,USD,0.8050
MIL Greater Bay Area Growth and Income Fund #,2022-06-24,USD,0.8110
