Investment choice name,Date,Currency,NAV / unit
MIL Ninety One Global Gold Fund,2017-07-27,USD,0.6200
MIL Ninety One Global Gold Fund,2017-07-28,USD,0.6260
MIL Ninety One Global Gold Fund,2017-07-31,USD,0.6260
MIL Ninety One Global Gold Fund,2017-08-01,USD,0.6260
MIL Ninety One Global Gold Fund,2017-08-02,USD,0.6230
MIL Ninety One Global Gold Fund,2017-08-03,USD,0.6220
MIL Ninety One Global Gold Fund,2017-08-04,USD,0.6080
MIL Ninety One Global Gold Fund,2017-08-07,USD,0.6070
MIL Ninety One Global Gold Fund,2017-08-08,USD,0.6070
MIL Ninety One Global Gold Fund,2017-08-09,USD,0.6180
MIL Ninety One Global Gold Fund,2017-08-10,USD,0.6340
MIL Ninety One Global Gold Fund,2017-08-11,USD,0.6400
MIL Ninety One Global Gold Fund,2017-08-14,USD,0.6310
MIL Ninety One Global Gold Fund,2017-08-15,USD,0.6310
MIL Ninety One Global Gold Fund,2017-08-16,USD,0.6350
MIL Ninety One Global Gold Fund,2017-08-17,USD,0.6420
MIL Ninety One Global Gold Fund,2017-08-18,USD,0.6400
MIL Ninety One Global Gold Fund,2017-08-21,USD,0.6470
MIL Ninety One Global Gold Fund,2017-08-22,USD,0.6420
MIL Ninety One Global Gold Fund,2017-08-24,USD,0.6500
MIL Ninety One Global Gold Fund,2017-08-25,USD,0.6570
MIL Ninety One Global Gold Fund,2017-08-28,USD,0.6570
MIL Ninety One Global Gold Fund,2017-08-29,USD,0.6840
MIL Ninety One Global Gold Fund,2017-08-30,USD,0.6780
MIL Ninety One Global Gold Fund,2017-08-31,USD,0.6930
MIL Ninety One Global Gold Fund,2017-09-01,USD,0.6970
MIL Ninety One Global Gold Fund,2017-09-04,USD,0.7000
MIL Ninety One Global Gold Fund,2017-09-05,USD,0.7160
MIL Ninety One Global Gold Fund,2017-09-06,USD,0.7080
MIL Ninety One Global Gold Fund,2017-09-07,USD,0.7160
MIL Ninety One Global Gold Fund,2017-09-08,USD,0.7140
MIL Ninety One Global Gold Fund,2017-09-11,USD,0.6920
MIL Ninety One Global Gold Fund,2017-09-12,USD,0.6930
MIL Ninety One Global Gold Fund,2017-09-13,USD,0.6780
MIL Ninety One Global Gold Fund,2017-09-14,USD,0.6770
MIL Ninety One Global Gold Fund,2017-09-15,USD,0.6710
MIL Ninety One Global Gold Fund,2017-09-18,USD,0.6590
MIL Ninety One Global Gold Fund,2017-09-19,USD,0.6610
MIL Ninety One Global Gold Fund,2017-09-20,USD,0.6560
MIL Ninety One Global Gold Fund,2017-09-21,USD,0.6460
MIL Ninety One Global Gold Fund,2017-09-22,USD,0.6510
MIL Ninety One Global Gold Fund,2017-09-25,USD,0.6630
MIL Ninety One Global Gold Fund,2017-09-26,USD,0.6560
MIL Ninety One Global Gold Fund,2017-09-27,USD,0.6460
MIL Ninety One Global Gold Fund,2017-09-28,USD,0.6480
MIL Ninety One Global Gold Fund,2017-09-29,USD,0.6430
MIL Ninety One Global Gold Fund,2017-10-03,USD,0.6480
MIL Ninety One Global Gold Fund,2017-10-04,USD,0.6530
MIL Ninety One Global Gold Fund,2017-10-06,USD,0.6550
MIL Ninety One Global Gold Fund,2017-10-09,USD,0.6590
MIL Ninety One Global Gold Fund,2017-10-10,USD,0.6580
MIL Ninety One Global Gold Fund,2017-10-11,USD,0.6610
MIL Ninety One Global Gold Fund,2017-10-12,USD,0.6600
MIL Ninety One Global Gold Fund,2017-10-13,USD,0.6590
MIL Ninety One Global Gold Fund,2017-10-16,USD,0.6460
MIL Ninety One Global Gold Fund,2017-10-17,USD,0.6440
MIL Ninety One Global Gold Fund,2017-10-18,USD,0.6400
MIL Ninety One Global Gold Fund,2017-10-19,USD,0.6400
MIL Ninety One Global Gold Fund,2017-10-20,USD,0.6320
MIL Ninety One Global Gold Fund,2017-10-23,USD,0.6310
MIL Ninety One Global Gold Fund,2017-10-24,USD,0.6250
MIL Ninety One Global Gold Fund,2017-10-25,USD,0.6200
MIL Ninety One Global Gold Fund,2017-10-26,USD,0.6130
MIL Ninety One Global Gold Fund,2017-10-27,USD,0.6150
MIL Ninety One Global Gold Fund,2017-10-30,USD,0.6220
MIL Ninety One Global Gold Fund,2017-10-31,USD,0.6160
MIL Ninety One Global Gold Fund,2017-11-01,USD,0.6160
MIL Ninety One Global Gold Fund,2017-11-02,USD,0.6200
MIL Ninety One Global Gold Fund,2017-11-03,USD,0.6160
MIL Ninety One Global Gold Fund,2017-11-06,USD,0.6260
MIL Ninety One Global Gold Fund,2017-11-07,USD,0.6230
MIL Ninety One Global Gold Fund,2017-11-08,USD,0.6280
MIL Ninety One Global Gold Fund,2017-11-09,USD,0.6250
MIL Ninety One Global Gold Fund,2017-11-10,USD,0.6180
MIL Ninety One Global Gold Fund,2017-11-13,USD,0.6170
MIL Ninety One Global Gold Fund,2017-11-14,USD,0.6160
MIL Ninety One Global Gold Fund,2017-11-15,USD,0.6170
MIL Ninety One Global Gold Fund,2017-11-16,USD,0.6160
MIL Ninety One Global Gold Fund,2017-11-17,USD,0.6240
MIL Ninety One Global Gold Fund,2017-11-20,USD,0.6180
MIL Ninety One Global Gold Fund,2017-11-21,USD,0.6230
MIL Ninety One Global Gold Fund,2017-11-22,USD,0.6300
MIL Ninety One Global Gold Fund,2017-11-23,USD,0.6320
MIL Ninety One Global Gold Fund,2017-11-24,USD,0.6310
MIL Ninety One Global Gold Fund,2017-11-27,USD,0.6330
MIL Ninety One Global Gold Fund,2017-11-28,USD,0.6290
MIL Ninety One Global Gold Fund,2017-11-29,USD,0.6180
MIL Ninety One Global Gold Fund,2017-11-30,USD,0.6140
MIL Ninety One Global Gold Fund,2017-12-01,USD,0.6170
MIL Ninety One Global Gold Fund,2017-12-04,USD,0.6100
MIL Ninety One Global Gold Fund,2017-12-05,USD,0.5980
MIL Ninety One Global Gold Fund,2017-12-06,USD,0.5900
MIL Ninety One Global Gold Fund,2017-12-07,USD,0.5890
MIL Ninety One Global Gold Fund,2017-12-08,USD,0.5910
MIL Ninety One Global Gold Fund,2017-12-11,USD,0.5890
MIL Ninety One Global Gold Fund,2017-12-12,USD,0.5850
MIL Ninety One Global Gold Fund,2017-12-13,USD,0.6050
MIL Ninety One Global Gold Fund,2017-12-14,USD,0.6080
MIL Ninety One Global Gold Fund,2017-12-15,USD,0.6070
MIL Ninety One Global Gold Fund,2017-12-18,USD,0.6160
MIL Ninety One Global Gold Fund,2017-12-19,USD,0.6170
MIL Ninety One Global Gold Fund,2017-12-20,USD,0.6240
MIL Ninety One Global Gold Fund,2017-12-21,USD,0.6290
MIL Ninety One Global Gold Fund,2017-12-22,USD,0.6360
MIL Ninety One Global Gold Fund,2017-12-27,USD,0.6510
MIL Ninety One Global Gold Fund,2017-12-28,USD,0.6510
MIL Ninety One Global Gold Fund,2017-12-29,USD,0.6530
MIL Ninety One Global Gold Fund,2018-01-02,USD,0.6660
MIL Ninety One Global Gold Fund,2018-01-03,USD,0.6620
MIL Ninety One Global Gold Fund,2018-01-04,USD,0.6620
MIL Ninety One Global Gold Fund,2018-01-05,USD,0.6650
MIL Ninety One Global Gold Fund,2018-01-08,USD,0.6580
MIL Ninety One Global Gold Fund,2018-01-09,USD,0.6480
MIL Ninety One Global Gold Fund,2018-01-10,USD,0.6500
MIL Ninety One Global Gold Fund,2018-01-11,USD,0.6520
MIL Ninety One Global Gold Fund,2018-01-12,USD,0.6720
MIL Ninety One Global Gold Fund,2018-01-15,USD,0.6840
MIL Ninety One Global Gold Fund,2018-01-16,USD,0.6870
MIL Ninety One Global Gold Fund,2018-01-17,USD,0.6780
MIL Ninety One Global Gold Fund,2018-01-18,USD,0.6670
MIL Ninety One Global Gold Fund,2018-01-19,USD,0.6670
MIL Ninety One Global Gold Fund,2018-01-22,USD,0.6660
MIL Ninety One Global Gold Fund,2018-01-23,USD,0.6770
MIL Ninety One Global Gold Fund,2018-01-24,USD,0.6940
MIL Ninety One Global Gold Fund,2018-01-25,USD,0.6870
MIL Ninety One Global Gold Fund,2018-01-26,USD,0.6870
MIL Ninety One Global Gold Fund,2018-01-29,USD,0.6650
MIL Ninety One Global Gold Fund,2018-01-30,USD,0.6570
MIL Ninety One Global Gold Fund,2018-01-31,USD,0.6630
